latitude,longitude
34.68,-97.4
34.51,-96.89
34.45,-96.63
34.38,-96.13
45.4134,-123.0729
45.4288,-122.893
45.72,-123.9
45.72,-123.8896
31.8872,-92.2332
33.8588,-93.3407
48.0776,-120.0117
48.0781,-120.0109
48.0773,-120.01
48.0772,-120.0109
48.6043,-118.4724
48.6064,-118.4721
48.6055,-118.4712
48.6045,-118.4715
48.7119,-118.0239
48.7122,-118.0218
48.7117,-118.022
48.7115,-118.0228
47.438,-120.3412
47.4379,-120.3416
47.4378,-120.3412
47.438,-120.3409
43.0481,-88.6865
37.79,-85.97
37.9,-85.52
37.7,-85.87
37.81,-85.98
37.69,-85.26
37.75,-86.42
37.81,-85.12
38.05,-84.73
37.47,-86.89
37.53,-84.66
37.34,-85.9
37.72,-85
37.9,-85.52
37.78,-86.45
37.63,-86.71
37.4,-85.01
37.53,-84.66
37.49,-84.66
37.55,-84.66
37.77,-84.85
37.757,-84.843
37.7629,-84.8318
37.7724,-84.8416
37.83,-85.73
37.75,-84.3
37.74,-84.14
30.3659,-87.2136
30.2997,-87.5084
30.4004,-86.5605
30.391,-86.5932
31.02,-87.49
31.01,-88.03
30.63,-87.32
43.0589,-96.416
43.0589,-96.4722
43.0409,-96.5204
42.9011,-96.55
42.9011,-96.5061
42.9168,-96.55
42.9102,-96.5047
42.7498,-96.5953
42.5256,-96.4418
42.5608,-96.5271
42.7482,-96.6616
39.92,-111.85
39.68,-112.29
43.0643,-96.5036
42.7452,-96.5231
42.52,-96.48
42.5566,-96.55
42.68,-96.6897
43.0859,-97.0098
43.0022,-97.0413
42.9091,-96.9359
42.9099,-96.8573
43.0863,-96.9459
40.52,-113.75
41.2,-111.88
40.1,-112.43
41.72,-112.18
41.07,-112.59
40.24,-113.09
40.23,-112.73
34.57,-81.15
35.15,-80.72
35.14,-80.76
35.09,-80.57
35.09,-80.68
35.64,-81.52
35.63,-81.58
35.61,-81.44
35.63,-81.38
35.66,-81.36
35.61,-81.11
35.59,-80.98
35.58,-81.2
35.63,-81.19
35.59,-80.86
35.59,-80.83
35.6,-80.65
35.64,-80.64
35.72,-80.48
35.58,-80.37
35.59,-80.32
35.59,-81.48
36.7561,-119.8285
35.2047,-119.4055
34.962,-119.447
36.2915,-119.7811
