latitude,longitude
39,-83.8
38.6,-91
36,-96.1
39.3,-76
42,-84.3
32.7,-96
37.8,-99
36.3,-96
37,-89
41.8,-85
36.3,-96
33.4,-94
34,-87.4
33.9,-89
34.3,-87
35,-99.7
39,-79.5
36,-96.1
35.4,-91
39.5,-97
35.4,-91
37,-79.7
36,-96.1
36,-96.1
40.3,-83
38,-87
31,-90.5
35,-77.5
36.4,-83
34,-98.4
34.7,-99
36,-94
44,-91.9
36.4,-83
41,-98
38,-78
40.3,-83
39,-83.8
33.4,-91
42,-73.2
36,-96.1
43.9,-91
38.6,-94
40.7,-96
35,-92.8
35,-92.8
35.5,-83
31,-92.3
35.5,-83
35,-92.8
45,-72.1
39,-94.7
41,-83.8
46,-87.8
33,-81.3
33,-81.3
36,-89.4
33,-81.3
40.7,-90
41,-98.6
35.4,-91
36.3,-96
37.8,-77
30.7,-95
36,-94
34,-79.2
36,-92.4
34.5,-89
45,-93.4
28,-82
28,-81.9
36.3,-96
32.7,-96
36.4,-83
