latitude,longitude
34.44 , -86.48
34.42 , -86.46
26.82 , -80.78
26.91 , -80.07
25.58 , -80.1
25.73 , -80.16
25.76 , -80.11
26.3714 , -80.0853
26.09 , -80.07
26.07 , -79.95
26.82 , -80.78
26.5848 , -80.0683
26.8932 , -80.0562
26.94 , -80.07
26.9116 , -80.0734
26.6128 , -80.0362
26.77 , -80.02
26.24 , -80.25
26.298 , -80.267
26.286 , -80.238
32.3552 , -91.8766
32.3631 , -91.7386
32.3489 , -91.7791
32.42 , -91.58
31.97 , -91.39
33.17 , -91.94
33.1121 , -91.5059
33.24 , -91.37
33.2876 , -91.1533
33.3991 , -91.0691
33.4001 , -91.0006
33.48 , -90.99
33.4 , -90.9
33.7056 , -90.7245
33.7387 , -90.7141
33.08 , -90.53
33.492 , -90.3211
32.87 , -90.47
32.82 , -90.28
32.38 , -90.78
33.78 , -89.8
33.5067 , -89.9183
32.5946 , -90.3198
32.75 , -89.99
32.262 , -90.4419
32.3057 , -90.2207
32.4874 , -90.0497
32.52 , -89.99
32.7893 , -89.9895
32.79 , -89.84
32.171 , -90.3172
32.3821 , -90.0423
33.54 , -89.29
33.54 , -89.27
33.07 , -89.59
32.66 , -89.65
32.82 , -89.61
32.8344 , -89.4753
32.84 , -89.35
33.44 , -88.86
33.47 , -88.82
32.9201 , -89.2355
32.8705 , -89.094
32.84 , -89.0463
33.12 , -89.06
32.99 , -89.06
33.602 , -88.4711
31.6963 , -89.0998
32.02 , -89.52
31.87 , -89.73
32.3 , -89.13
32.07 , -89.26
33.73 , -89.05
33.66 , -90.52
35.49 , -85.01
36.37 , -84.13
36.5 , -84.51
35.8 , -84.27
36.36 , -83.71
35.73 , -84.79
36.46 , -83.58
35.07 , -85.26
36.21 , -83.3
36.15 , -83.43
36.12 , -83.49
35.45 , -84.6
36.53 , -82.5
36.69 , -83.12
36.71 , -81.97
29.6375 , -95.2825
29.782 , -95.3115
29.6412 , -95.268
29.6341 , -95.2684
29.6436 , -95.2491
29.6462 , -95.2492
29.4236 , -94.8897
37.4 , -84.42
37.42 , -84.42
37.52 , -84.32
37.48 , -84.32
37.85 , -83.86
38.9224 , -80.0888
38.9248 , -80.0954
38.9109 , -80.0954
38.959 , -80.8628
38.9196 , -80.6922
38.8785 , -80.7331
38.9004 , -80.8836
39.6586 , -81.8351
39.5687 , -81.739
39.5359 , -81.8111
39.6428 , -81.8839
40.8698 , -78.0281
40.4541 , -78.5475
40.907 , -77.4776
28.53 , -80.77
32.1196 , -96.3186
32.1307 , -96.3053
33.0015 , -95.3288
33.0092 , -95.316
32.83 , -97.25
32.82 , -97.15
32.7587 , -97.2142
32.97 , -97.13
32.7423 , -97.2137
32.95 , -96.9
32.9037 , -96.958
32.91 , -97
33.14 , -96.7
37.29 , -85.77
37.33 , -84.64
37.63 , -84.4
39.93 , -83.81
39.32 , -83.69
39.76 , -84.31
39.6232 , -84.2988
39.9373 , -84.2748
40.3343 , -84.0411
40 , -82.67
39.76 , -82.66
39.8 , -84.06
40.17 , -82.42
35.37 , -119
35.3715 , -119.0021
35.3726 , -119.0015
35.372 , -118.9991
35.3802 , -119.0204
35.3799 , -119.0204
35.38 , -119.0192
35.3801 , -119.0192
35.3702 , -119.0204
35.37 , -119.0204
35.37 , -119.0198
35.3702 , -119.0198
34.8426 , -119.083
34.8372 , -119.0836
34.8385 , -119.0891
34.8439 , -119.0873
35.3102 , -117.9575
35.3367 , -117.9592
35.3642 , -117.908
35.3451 , -117.8988
39.5749 , -81.4451
39.4124 , -81.4186
39.3953 , -81.2505
39.5651 , -81.1126
39.3129 , -81.0936
46.395 , -116.1816
39.319 , -81.0561
39.3395 , -81.0281
39.3316 , -80.9565
39.2908 , -80.9706
39.2823 , -81.0867
39.3716 , -80.9888
39.3986 , -80.9224
39.3447 , -80.861
39.4409 , -80.7203
39.5685 , -80.8862
39.494 , -81.0191
39.2576 , -81.5675
39.2916 , -81.5485
39.3306 , -81.5519
39.4044 , -81.4513
39.3328 , -81.3744
39.259 , -81.4732
38.7666 , -79.9554
38.7532 , -79.9196
38.7088 , -79.9458
38.635 , -79.9581
38.6452 , -80.0081
38.7228 , -79.988
38.9172 , -80.09
21.3359 , -157.7252
48.8305 , -117.3944
48.8303 , -117.392
48.8315 , -117.3918
48.8315 , -117.3937
47.83 , -117.2
47.8308 , -117.2017
47.8311 , -117.2011
47.8307 , -117.2002
38.2401 , -122.6508
37.2987 , -122.0438
38.2397 , -122.6298
38.45 , -122.7
40.7507 , -124.1932
40.8081 , -124.1631
34.6025 , -76.5337
35.1192 , -76.0006
35.9101 , -75.5954
35.0176 , -76.3152
35.4256 , -75.8349
35.7949 , -75.5465
35.5667 , -75.4816
35.3473 , -75.4998
35.2468 , -75.6265
35.2656 , -75.5479
37.3017 , -121.8146
37.3014 , -121.8147
37.3016 , -121.8149
37.3018 , -121.8148
37.01 , -121.58
38.4089 , -122.9841
38.2577 , -122.7151
37.159 , -121.65
38.23 , -122.6116
37.2721 , -121.88
37.8503 , -122.4904
37.01 , -121.5803
37.6688 , -121.8553
37.8905 , -122.0598
37.8903 , -122.0593
37.89 , -122.0595
37.9326 , -122.3253
37.9326 , -122.3257
37.9325 , -122.3256
37.9325 , -122.3254
37.9255 , -122.5119
37.9257 , -122.5107
37.9251 , -122.5106
37.9252 , -122.5112
37.2948 , -121.938
37.2945 , -121.9388
37.2942 , -121.9385
37.2945 , -121.9382
37.1422 , -122.1874
37.142 , -122.1862
37.1416 , -122.1866
37.1418 , -122.1874
38.5023 , -122.9955
38.5024 , -122.9952
38.5027 , -122.9953
38.5026 , -122.9955
38.3437 , -122.4057
38.3435 , -122.4048
38.3434 , -122.4052
38.3435 , -122.4057
20.2472 , -155.8356
19.2961 , -155.2094
20.2161 , -155.8246
19.3065 , -155.3192
21.9076 , -159.4144
22.1698 , -159.4089
19.998 , -155.2945
19.5448 , -155.116
21.5138 , -158.083
21.3483 , -157.7184
20.7883 , -156.4522
20.6593 , -156.091
21.4738 , -158.118
32.59 , -90.31
32.64 , -89.26
32.6559 , -89.273
32.6494 , -89.2775
32.6372 , -89.2663
32.35 , -90.01
32.1824 , -90.1648
32.1208 , -90.1263
32.3193 , -89.9094
33.16 , -88.99
32.9833 , -89.3883
33.05 , -89.35
32.8071 , -89.9151
32.3963 , -88.9137
32.4138 , -88.7795
32.41 , -88.71
41.757 , -81.2082
41.7639 , -81.2398
41.7588 , -81.2762
41.7611 , -81.2861
41.7296 , -81.2875
41.63 , -80.15
41.7806 , -80.0574
41.8021 , -80.1082
41.6341 , -80.2387
41.5602 , -80.1727
41.5787 , -80.0546
38.17 , -82.67
38.44 , -82.63
38.56 , -82.43
39.6449 , -81.8742
39.6549 , -81.8475
39.5613 , -81.7609
39.5465 , -81.8001
36.1081 , -115.0474
32.68 , -91.45
32.86 , -91.22
32.71 , -91.14
36.1081 , -115.047
36.1078 , -115.047
36.1079 , -115.0475
36.7035 , -114.6741
36.7052 , -114.6656
36.7073 , -114.6686
36.7048 , -114.6746
36.2183 , -115.0936
36.2162 , -115.0932
36.2175 , -115.0627
36.2187 , -115.0627
36.2985 , -116.812
36.6043 , -116.9804
36.6055 , -116.9829
36.5928 , -116.9974
36.2854 , -116.827
41.91 , -78.66
41.9201 , -78.654
41.9116 , -78.6104
41.894 , -78.6195
35.1 , -95.1
35.0823 , -94.2695
35.1407 , -94.2124
35.3909 , -93.9501
35.4397 , -93.9022
35.1688 , -94.2074
35.3512 , -93.9673
37.8253 , -122.2656
37.8253 , -122.2654
37.8251 , -122.2655
37.8251 , -122.2656
37.7733 , -122.4078
37.7733 , -122.4079
37.7732 , -122.4079
37.7732 , -122.4078
37.7503 , -122.3918
37.7505 , -122.3924
37.7501 , -122.3924
37.7501 , -122.3921
37.9067 , -122.0702
37.9071 , -122.0703
37.907 , -122.0706
40.2 , -82.47
39.07 , -84.7
35.25 , -75.53
35.26 , -75.56
35.3473 , -75.4999
35.2473 , -75.629
39.33 , -121.4
32.931 , -95.5637
32.87 , -95.54
32.9599 , -95.3051
32.9641 , -95.2989
33.1583 , -94.9696
33.1942 , -94.9511
33.2159 , -95.0737
33.263 , -95.0346
33.4474 , -94.6484
33.5266 , -94.571
33.5655 , -94.5114
33.57 , -94.5037
32.12 , -94.94
33.6222 , -94.4294
33.6864 , -94.3512
37.0474 , -93.8293
37.0659 , -93.8213
37.41 , -92.6
37.29 , -92.5
37.79 , -92.33
36.96 , -92.31
44.9708 , -74.6716
44.9839 , -74.6577
44.9802 , -74.6474
44.9702 , -74.6651
44.9815 , -74.4943
32.61 , -91.18
32.7734 , -91.8756
32.86 , -91.82
32.8986 , -91.7988
37.9067 , -122.0704
36.6587 , -121.6911
36.6591 , -121.6919
36.6587 , -121.6923
36.6585 , -121.6918
37.7497 , -122.403
37.7497 , -122.4034
37.7495 , -122.4034
37.7495 , -122.4031
36.9886 , -122.0027
36.9888 , -122.003
36.9886 , -122.0033
36.9885 , -122.0031
36.7662 , -121.7499
36.7662 , -121.7495
36.7661 , -121.7496
36.7661 , -121.7498
37.328 , -121.8714
37.3278 , -121.8716
37.328 , -121.8717
37.328 , -121.8716
37.8634 , -122.0345
37.8633 , -122.0348
37.8636 , -122.0352
37.8637 , -122.0347
32.74 , -91.42
32.7704 , -91.927
44.9949 , -74.5082
44.9971 , -74.4977
44.9884 , -74.4897
44.6357 , -72.6839
44.6364 , -72.6828
44.6359 , -72.6812
44.6353 , -72.6818
44.6354 , -72.6826
44.8968 , -73.1175
44.9063 , -73.1341
44.9342 , -73.1359
44.9379 , -73.1227
41.2815 , -82.6007
41.2984 , -82.6291
41.3272 , -82.5916
41.3253 , -82.5767
41.47 , -81.85
41.4885 , -81.8423
41.4918 , -81.8257
41.4564 , -81.8128
40.95 , -83.21
40.9556 , -83.3196
41.0146 , -83.2259
41.0012 , -83.1487
41.73 , -81.25
37.37 , -82.54
36.77 , -83.17
37.33 , -85.54
37.41 , -85.34
37.13 , -82.75
37.1429 , -82.7431
37.55 , -85.7
37.33 , -85.54
37.54 , -84.53
37.39 , -84.67
37.89 , -122.06
36.8342 , -83.3554
37.7653 , -82.7473
37.29 , -82.51
37.43 , -84
36.8275 , -83.1367
36.97 , -82.98
37.54 , -86.29
37.48 , -86.29
36.9045 , -83.521
36.9205 , -83.5155
37.13 , -83.28
37.1183 , -83.43
36.72 , -86.58
36.96 , -85.95
37.633 , -84.8798
37.74 , -84.12
37.5605 , -82.5906
31.92 , -91.46
32.38 , -91.9
37.1372 , -83.0097
36.9715 , -83.394
37.7663 , -82.7639
37.5756 , -83.4476
37.36 , -82.42
37.36 , -82.41
37.57 , -85.73
36.9596 , -82.9152
36.6051 , -83.6681
37.57 , -86.05
37.1308 , -83.0185
37.7731 , -82.7652
37.7739 , -82.7494
37.1518 , -83.3715
37.18 , -83.3
37.5245 , -82.7571
38.39 , -84.54
37.61 , -84.77
36.7922 , -83.7468
37.6 , -85.91
37.57 , -85.59
36.6 , -83.7741
36.9201 , -83.5379
36.9039 , -83.5451
37.64 , -85.4
37.5 , -85.14
37.5629 , -82.6258
37.89 , -83.24
37.131 , -83.0097
36.72 , -84.48
36.9927 , -84.0093
37.68 , -82.82
36.7235 , -83.6238
37.37 , -83.11
37.3 , -82.9
37.2 , -86.27
37.28 , -86.28
37.1362 , -83.0201
37.62 , -84.87
37.99 , -83.09
37.79 , -83
36.94 , -84.11
36.94 , -84.01
34.39 , -86.42
36.7495 , -83.6545
37.52 , -85.89
40.8069 , -124.1639
37.5839 , -83.3515
37.18 , -83.15
37.79 , -85.98
37.5592 , -83.6835
37.5627 , -83.72
37.77 , -86.43
37.48 , -86.85
37.72 , -83.06
37.1738 , -83.4185
37.6327 , -84.8731
37.81 , -85.98
36.9689 , -83.0016
37.54 , -85.94
37.29 , -86.29
37.1734 , -83.2908
37.5201 , -86.3349
37.4688 , -83.4281
37.58 , -83.72
37.4799 , -83.3027
37.38 , -85.9
37.57 , -85.55
37.1405 , -82.7303
37.1331 , -82.7337
38.49 , -84.44
36.979 , -82.9967
37.54 , -85.88
37.58 , -85.89
36.86 , -83.36
37.48 , -84.96
37.1807 , -84.6141
37.1927 , -84.5747

37.1774 , -84.5664
37.168 , -84.6038
36.67 , -84.3561
36.6795 , -84.3072
36.661 , -84.2948
36.6521 , -84.3404
36.87 , -83.88
36.8598 , -83.8928
36.8524 , -83.8789
36.864 , -83.8672
37.18 , -83.3
